,carbs per g,calories per g,protein per gram,fat per g,name
1938,0.0384,1.45,0,0.1532,"OLIVES,PICKLED,CND OR BTLD,GRN"
1939,0.854,3.38,0,0.006,"TEA,INST,SWTND W/ NON-NUTRSWTNR,LEMON-FLAVOR,PDR,DECAFFE"
1940,0.157,2.83,0.14,0.18,"TURKEY PATTIES,BREADED,BATTERED,FRIED"
1941,0.569,5.38,0.0617,0.3336,"SNACKS,CORN-BASED,EXTRUDED,CHIPS,PLN"
1942,0.234,1,0,0.0012,"SWEET POTATO,FRZ,CKD,BKD,WO/ SALT"
1943,0.0343,0.17,0,0.0024,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT"
1944,0,1.28,0.2175,0.0385,"BEEF,SHANK CROSSCUTS,LN,1/4\FAT,CHOIC,RAW"""
1945,0.0814,0.33,0,0.0023,"EGGPLANT,CKD,BLD,DRND,W/SALT"
1946,0.042,1.8,0.165,0.103,"HAM,CHOPPED,NOT CANNED"
1947,0.213,1.2,0,0.0192,"QUINOA,CKD"
1948,0.0014,1.01,0.2154,0.0166,"TURKEY,BREAST,FROM WHL BIRD,ENHANCED,MEAT ONLY,RAW"
1949,0.012,0.16,0,0.006,"SOUP,CHICK BROTH,LO NA,CND"
1950,0.801,3.84,0.097,0.031,"POPCORN,CAKES"
1951,0.0666,0.72,0.1034,0.0029,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD"
1952,0.403,2.41,0,0.069,"HEINZ,WEIGHT WATCHER,CHOC ECLAIR,FRZ"
1953,0,8.84,0,1,"OIL,OAT"
1954,0.006,1.39,0.193,0.065,"CARL BUDDIG,SMOKED SLICED BF"
1955,0,2.32,0.2326,0.1474,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,STWD"
1956,0.741,4.46,0.069,0.138,"COOKIES,ANIMAL CRACKERS (INCL ARROWROOT,TEA BISCUITS,)"
1957,0,3.1,0.1632,0.2663,"LAMB,DOM,LOIN,LN&FAT,1/4\FAT,CHOIC,RAW"""
1958,0,2.01,0,0.1296,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BNLESS,LN & FAT,RAW"
1959,0,2.23,0.1886,0.1635,"BEEF,CHUCK EYE STEAK,BNLESS,LN & FAT,0\ FAT,ALL GRDS,RAW"""
1960,0.1004,1.35,0.0681,0.0756,"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D"
1961,0.9411,3.88,0,0.0123,"DRINK MIX,QUAKER OATS,GATORADE,ORANGE FLAVOR,PDR"
1962,0.2088,1.15,0.078,0.0038,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,WO/SALT"
1963,0,8.84,0,1,"OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING"
1964,0.814,3.7,0,0.0409,"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS"
1965,0.01,4.03,0,0.3894,"CHICKEN,SKN (DRUMSTICKS & THIGHS),ENHANCED,CKD,BRSD"
1966,0.0349,0.16,0.0083,0.002,"BEANS,SNAP,CND,ALL STYLES,SEASONED,SOL&LIQUIDS"
1967,0,2.94,0.2421,0.2113,"BEEF,SHRT LN,T-BONE STK,L & F,1/8\ FAT,CHOIC,CKD,GRILLED"""
1968,0.0191,0.85,0.0998,0.0419,HOUSE FOODS PREMIUM FIRM TOFU
1969,0.17,1.19,0,0.037,"KASHI MUSHROOM & ASPARAGUS RISOTTO,FRZ,UNPREP"
1970,0.0546,0.27,0,0.002,"BEET GRNS,CKD,BLD,DRND,W/SALT"
1971,0.8466,3.5,0.0081,0.009,"PUDDINGS,ALL FLAVORS XCPT CHOC,LO CAL,INST,DRY MIX"
1972,0,2.99,0.2622,0.2075,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8\FAT,PRIME,CKD"""
1973,0.4416,2.89,0,0.094,"WAFFLE,BTTRMLK,FRZ,RTH,MICROWAVED"
1974,0.055,2.19,0,0.155,"WORTHINGTON SUPER LINKS,CND,UNPREP"
1975,0.5629,1.88,0,0,"PACE,DRY TACO SEAS MIX"
1976,0,1.97,0.2022,0.1232,"TURKEY,ALL CLASSES,WING,MEAT&SKN,RAW"
1977,0.723,4.74,0,0.191,"FAMOUS AMOS,CHOC SNDWCH CREME COOKIES"
1978,0.0503,3.37,0.1245,0.2968,"KIELBASA,FULLY CKD,GRILLED"
1979,0.708,3.93,0.041,0.105,"KELLOGG'S,POP-TARTS,GINGERBREAD TOASTER PASTRIES"
1980,0,4.99,0,0.551,"BUTTER,LT,STK,WO/SALT"
1981,0.4417,1.96,0,0.0125,"CHESTNUTS,EUROPEAN,RAW,PEELED"
1982,0.555,3.13,0.055,0.094,"MUFFINS,WHEAT BRAN,TOASTER-TYPE W/RAISINS,TSTD"
1983,0.01,2.28,0.27,0.129,"BEEF,TOP LOIN PET RST,BNLS,LN & FAT,1/8\ FAT,AL GDS,CKD,RSTD"""
1984,0,1.39,0.1978,0.0605,"SALMON,PINK,CND,WO/SALT,SOL W/BONE&LIQ"
1985,0.704,3.84,0,0.093,"TOASTER PASTRIES,KELLOGG,KELLOGG'S POP TARTS,FRSTD CHOC FUDG"
1986,0.0073,0.52,0.109,0.0017,"EGG,WHITE,RAW,FRESH"
1987,0.7815,3.53,0,0.0141,"CEREALS RTE,HEALTH VALLEY,FIBER 7 FLAKES"
1988,0.503,3.86,0.2191,0.1079,"FORMUL BAR,MA SNACKFO US,SNICKE MARATH ENER BAR,ALL FLAVO"
1989,0.012,4.25,0,0.37,SALAMI  ITALIAN  PORK
1990,0,2.08,0.2012,0.1414,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN & FAT,0\ FAT,SEL,RAW"""
1991,0.1064,2.16,0.0868,0.1553,HAM SALAD SPREAD
1992,0.089,2.21,0,0.105,"MORNINGSTAR FARMS GRILLERS QTR POUND VEGGIE BURGER,FRZ,U"
1993,0.1917,0.74,0.002,0.0013,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS"
1994,0,2.06,0,0.1037,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0\ FAT,ALL GRDS,CKD,GRI"""
1995,0.416,2.65,0,0.087,"KELLOGG'S,EGGO,WAFFLES,STRAWBERRY"
1996,0.448,2.23,0.087,0.02,"ENGLISH MUFFINS,WHEAT"
1997,0.0247,1.34,0.2139,0.0365,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW"
1998,0.007,7.17,0.0016,0.8071,"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D"
1999,0.4541,2.98,0,0.0991,"WAFFLE,PLN,FRZ,RTH,MICROWAVE"
2000,0.001,1.08,0,0.025,"Turkey from whole, dark meat, meat only, raw"
2001,0.2406,1.95,0.0083,0.1132,"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT"
2002,0,1.98,0.2913,0.0821,"TUNA,LT,CND IN OIL,DRND SOL"
2003,0.0939,3.33,0,0.3418,"SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT"
2004,0.0073,1.19,0,0.0483,"CHICKEN,LIVER,ALL CLASSES,RAW"
2005,0,2.61,0.2918,0.1605,"BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN & FAT,0\ FAT,SEL,CKD,"""
2006,0.72,4.43,0,0.136,"SUNSHINE,CHEEZ-IT,WHITE CHEDDAR,RED FAT CRACKERS"
2007,0.0604,0.77,0.0301,0.0462,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK"
2008,0,2.1,0.2889,0.0971,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL"
2009,0.664,4.47,0.068,0.179,"COOKIES,OATMEAL,PREP FROM RECIPE,WO/RAISINS"
2010,0,2.05,0.3446,0.0643,"BEEF,RND,BTTM RND,STEAK,LN,1/8\ FAT,SEL,CKD,BRSD"""
2011,0.15,0.95,0,0.0046,"CRAB,ALASKA KING,IMITN,MADE FROM SURIMI"
2012,0,1.22,0,0.0377,"LAMB,NZ,IMP,FORE-SHANK,LN,RAW"
2013,0.0881,0.35,0,0,"TEA,RTD,LIPTON BRISK ICED TEA,W/ LEMON FLAVOR"
2014,0.142,0.43,0,0.0203,"SYRUPS,CHOC,HERSHEY'S SUGAR FREE,GENUINE CHOC FLAV,LITE SYRU"
2015,0.0499,0.42,0.0337,0.0097,"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D"
2016,1e-04,1.27,0.2177,0.0445,"BEEF,ASTRLN,GRSSFD,LN,TPSRLN CAPOFF STK/RST,BNLS,LN & FT,RAW"
2017,0.534,5.26,0.09,0.344,"CANDIES,MILK CHOC,W/ALMONDS"
2018,0.844,3.67,0,0.004,"KELLOGG'S,CORN FLAKES CRUMBS"
2019,0,2.32,0.2596,0.1342,"PORK,FRSH,LEG (HAM),SHANK HALF,LN&FAT,CKD,RSTD"
2020,0.268,2.37,0,0.127,"ICE CREAMS,REG,LO CARBOHYDRATE,CHOC"
2021,0.064,0.33,0,0.006,"DANDELION GRNS,CKD,BLD,DRND,W/SALT"
2022,0,2.02,0.2829,0.0905,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8\FAT,CHOIC,CKD,BRLD"""
2023,0.2147,0.83,0.0053,8e-04,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS"
2024,0.0357,0.86,0.1467,0.0096,"CLAM,MIXED SPECIES,RAW"
2025,0,1.98,0.2906,0.0911,"BEEF,LN,TOP LN STK,BNLSS,LIP-ON,LN,1/8\ FAT,ALL GRDS,,GRLLD"""
2026,0,1.5,0.2945,0.0267,"GAME MEAT,ANTELOPE,CKD,RSTD"
2027,0.414,2.96,0,0.122,"KELLOGG'S,EGGO SEASONS,WAFFLES,PUMPKIN SPICE"
2028,0.1423,0.6,0.0123,0.0056,"KIWIFRUIT,GOLD,RAW"
2029,0.7157,3.76,0,0.0746,"CEREALS,QUAKER,INST OATMEAL,FRUIT & CRM,RED SUGAR"
2030,0.7294,4.47,0,0.15,"CANDIES,M&M MARS PRETZEL CHOC CANDIES"
2031,0.8685,3.78,0.0606,0.0108,"CEREALS RTE,USDA CMDTY CORN & RICE (INCLUDES ALL  BRANDS)"
2032,0.5465,5.01,0,0.3017,"ACORN FLOUR,FULL FAT"
2033,0.8236,3.08,0,0.0137,"CRANBERRIES,DRIED,SWTND"
2034,0.3091,3.31,0,0.0046,"SOY PROT CONC,PRODUCED BY ALCOHOL EXTRACTION"
2035,0,1.91,0.3628,0.0395,"GAME MEAT,DEER,SHLDR CLOD,LN,3-5 LB RST,CKD,BRSD"
2036,0.095,2.77,0.2355,0.1544,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,FRIED,BATTER"
2037,0,2.14,0.34,0.0767,"BEEF,RND,BTTM RND,STEAK,LN,0\ FAT,ALL GRDS,CKD,BRSD"""
2038,0.1953,1.25,0,0.0234,"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND"
2039,0.79,3.49,0,0.018,"CEREALS RTE,KASHI 7 WHL GRAIN HONEY PUFFS"
2040,0,0.83,0.1788,0.0074,"CRAB,BLUE,CKD,MOIST HEAT"
2041,0,1.98,0.2913,0.0821,"TUNA,LT,CND IN OIL,WO/SALT,DRND SOL"
2042,0.2287,1.38,0.0704,0.0247,"CHICKPEAS,MATURE SEEDS,CND,DRND,RINSED IN TAP H2O"
2043,0.0302,0.24,0.0336,0.0056,"CHRYSANTHEMUM,GARLAND,RAW"
2044,0,4.04,0.2065,0.3497,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8\FAT,PRIME,CKD,BRLD"""
2045,0.767,3.89,0.1,0.042,"BREAD STUFFING,CORNBREAD,DRY MIX"
2046,0.629,3.29,0,0.0053,"BEANS,ADZUKI,MATURE SEEDS,RAW"
2047,0.0857,0.82,0,0.0408,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO W/ STEAK & CHS SOUP"
2048,0.034,1.6,0,0.103,"WORTHINGTON FRICHIK ORIGINAL,CND,UNPREP"
2049,0.816,3.27,0,0.025,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES"
2050,0.8373,3.98,0,0.04,"COCOA MIX,PDR"
2051,0.813,3.62,0.111,0.026,"SNACKS,PRETZELS,HARD,WHOLE-WHEAT INCL BOTH SALTED & UNSALTED"
2052,0.793,2.99,0,0.032,"CEREALS RTE,KASHI GOOD FRIENDS"
2053,0.2109,1.18,0,0.0045,"YARDLONG BNS,MATURE SEEDS,CKD,BLD,WO/SALT"
2054,0.492,0.4,0.008,0,"SYRUPS,DIETETIC"
2055,0,2.01,0.2986,0.0811,"PORK,FRSH,LOIN,TENDERLOIN,LN&FAT,CKD,BRLD"
2056,0.0253,3.1,0,0.2431,"CHEESE,WHITE,QUESO BLANCO"
2057,0,2.02,0.2828,0.0983,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0\ FAT,CHOIC,CKD,GRILLE"""
2058,0,8.98,0,0.995,"PORK,BACON,RENDERED FAT,CKD"
2059,0.837,3.83,0,0.052,"CEREALS RTE,GENERAL MILLS,COCOA PUFFS"
2060,0.2109,1.18,0,0.0045,"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,W/SALT"
2061,0,1.29,0.2215,0.0383,"BEEF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0\ FAT,SEL,RAW"""
2062,0.5959,4.85,0.033,0.259,"CANDIES,PRALINE,PREPARED-FROM-RECIPE"
2063,0.0762,0.31,0.0081,0.002,"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,W/SALT"
2064,0.0558,2.02,0.0161,0.208,"COCONUT MILK,FRZ (LIQ EXPRESSED FROM GRATED MEAT&H2O)"
2065,0.1272,0.85,0,0.0014,"YOGURT,GREEK,NON FAT,VANILLA,DANNON OIKOS"
2066,0.665,4.63,0.0985,0.1692,"SNACKS,M&M MARS,COMBOS SNACKS CHEDDAR CHS PRETZEL"
2067,0.0046,3,0.198,0.2426,"CHEESE,CAMEMBERT"
2068,0,2.31,0,0,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF"
2069,0.0083,1.96,0,0.1484,"EGG,WHL,CKD,FRIED"
2070,0.1763,0.88,0.0792,0.0073,"BEANS,FAVA,IN POD,RAW"
2071,0,1.22,0.104,0.0858,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,RAW"
2072,0.21,0.78,0.0052,0.0014,"STRAWBERRIES,FRZ,SWTND,WHL"
2073,0,1.55,0.2424,0.057,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST"
2074,0,2.47,0.2774,0.1426,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN,CKD,BRSD"
2075,0.828,4.08,0,0.0645,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEX"
2076,0,2.31,0.301,0.1139,"VEAL,COMP OF RTL CUTS,LN&FAT,CKD"
2077,0.522,2.75,0.095,0.034,"BREAD,PUMPERNICKEL,TSTD"
2078,0.554,2.99,0.078,0.052,"BISCUITS,PLN OR BTTRMLK,REFR DOUGH,LOWER FAT,BKD"
2079,0.7543,3.49,0,0.0152,"RYE FLOUR,MEDIUM"
2080,0,2.58,0.2555,0.1648,"LAMB,DOM,LEG,WHL (SHK&SIRL),LN&FAT,1/4\FAT,CHOIC,CKD,RSTD"""
2081,0.2284,0.89,0.0109,0.0033,"BANANAS,RAW"
2082,3e-04,0,0,0,"WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO"
2083,0.9998,3.87,0,0,"SUGARS,GRANULATED"
2084,0,2.77,0.1794,0.2218,"BEEF,BRISKET,FLAT HALF,LN&FAT,1/8\FAT,ALL GRDS,RAW"""
2085,0.606,3.59,0,0.026,"CEREALS RTE,KELLOGG'S,SPL K PROT PLUS"
2086,0.449,2.29,0.063,0.035,"KELLOGG'S,EGGO,WAFFLES,HOMESTYLE,LOFAT"
2087,0.222,0.86,0,0.001,"PINEAPPLE,FRZ,CHUNKS,SWTND"
2088,0.1364,0.53,0,0.0036,"APPLES,RAW,WO/SKN,CKD,BLD"
2089,0.0124,1.07,0.1793,0.0338,"PORK,CURED,HAM & H2O PRODUCT,RUMP,BONE-IN,LN,UNHTD"
2090,0.7804,3.8,0,0.0483,"CEREALS RTE,QUAKER OATMEAL SQUARES,GOLDEN MAPLE"
2091,0.032,3.07,0.111,0.277,KNACKWURST  KNOCKWURST  PORK  BF
2092,0,1.44,0,0.0661,"LAMB,NZ,IMP,SWEETBREAD,CKD,SOAKED & SIMMRD"
2093,0.73,4.03,0,0.105,"CEREALS RTE,POST,GREAT GRAINS CRUNCHY PECAN CRL"
2094,0,2.09,0.3562,0.0631,"BEEF,RND,TOP RND,LN&FAT,0\FAT,ALL GRDS,CKD,BRSD"""
2095,0.605,5.22,0.0753,0.2776,"CANDIES,MARS SNACKFOOD US,M&M'S ALMOND CHOC CANDIES"
2096,0.3456,1.46,0,0.0048,"GRAPEFRUIT JUC,WHITE,FRZ CONC,UNSWTND,UNDIL"
2097,0.004,1.4,0,0.0744,"TURKEY,HEART,ALL CLASSES,RAW"
2098,0.1282,1.53,6e-04,6e-04,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028"
2099,0.0776,1.37,0,0.004,"WHELK,UNSPECIFIED,RAW"
2100,0.0016,2.44,0.2659,0.1438,"TURKEY,ALL CLASSES,BACK,MEAT&SKN,CKD,RSTD"
2101,0,1.33,0.2249,0.0405,"PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BNLESS,LN&FAT,RAW"
2102,0,1.35,0.2277,0.0488,"BEEF,TOP LOIN PETITE ROAST/FILET,BNLESS,LN,1/8\ FAT,SEL,RAW"""
2103,0.0496,0.34,0.0337,8e-04,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)"
2104,0.5727,4.22,0,0.1318,"FORM BAR,MARS SNKF US,SNICKERS MARATHON MULTIGRNCRUNCH"
2105,0.676,4.9,0,0.22,"MOTHER'S,CHOC CHIP COOKIES"
2106,0.93,3.66,0,0.004,"PUDDINGS,BANANA,DRY MIX,REG"
2107,0,1.5,0.2074,0.0685,"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0\ FAT,CHOIC,RAW"""
2108,0,1.14,0.2334,0.0233,"TURKEY,RTL PARTS,BREAST,MEAT ONLY,RAW"
2109,0.518,3.6,0,0.0972,"WHEAT GERM,CRUDE"
2110,0,2.08,0.2069,0.1327,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8\FAT,SEL,RAW"""
2111,0.1278,0.9,0,0.0296,"CHOCOLATE SYRUP,PREP W/ WHL MILK"
2112,0.029,0.55,0,0.027,"MORI-NU,TOFU,SILKEN,SOFT"
2113,0.7059,3.35,0,0.031,"BUCKWHEAT FLR,WHOLE-GROAT"
2114,0.7313,3.67,0,0.0238,"TEFF,UNCKD"
2115,0,1.28,0.2304,0.0398,"BEEF,LOIN,TOP SRLN PETIT RST/FILT,BNLS,LN,0\ FAT,AL GRDS,RAW"""
2116,0.3088,1.64,0,0.0021,"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 6.25)"
2117,0.026,3.13,0,0.284,OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING)
2118,0.0192,1.46,0,0.0288,"CANADIAN BACON,CKD,PAN-FRIED"
2119,0.2509,1.39,0,0.0035,"BEANS,WHITE,MATURE SEEDS,CKD,BLD,W/ SALT"
2120,0.007,4.06,0.125,0.388,"BEEF,CURED,BRKFST STRIPS,RAW OR UNHTD"
2121,0.0776,0.57,0,0.0184,"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP"
2122,0.3806,1.6,0.0136,0.0028,"CASSAVA,RAW"
2123,0.1769,5.93,0.2606,0.5147,"PEANUT BUTTER,CHUNKY,VITAMIN&MINERAL FORT"
2124,4e-04,0.18,0,0,"VINEGAR,DISTILLED"
2125,0,1.67,0.2977,0.0442,"GAME MEAT,CARIBOU,CKD,RSTD"
2126,0,2.43,0,0.1909,"BEEF,NZ,IMP,TONGUE,RAW"
2127,0.001,0,0,0,"CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN"
2128,0,2.03,0.3313,0.0679,"BEEF,BRISKET,FLAT HALF,LN,1/8\ FAT,CHOIC,CKD,BRSD"""
2129,0,1.87,0.2967,0.0672,"YELLOWTAIL,MXD SP,CKD,DRY HEAT"
2130,0.212,1.14,0,0.0029,"BEANS,WHITE,MATURE SEEDS,CND"
2131,0,2.26,0,0.103,"BEEF,NZ,IMP,FLAT,LN,CKD,BRSD"
2132,0,2.16,0.2573,0.1173,"BEEF,CHUCK,TOP BLADE,LN & FAT,0\ FAT,ALL GRDS,CKD,BRLD"""
2133,0.0169,0.24,0.0087,0.0159,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME H2O"
2134,0.134,1.48,0.225,0.008,"CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,FAT-FREE"
2135,0.7426,3.65,0,0.0474,"CORN GRAIN,YEL"
2136,0,1.28,0.2288,0.0338,"BEEF,RND,EYE OF RND,RST,LN,1/8\ FAT,CHOIC,RAW"""
2137,0,2.85,0.2688,0.1887,"CHICKEN,STEWING,MEAT&SKN,CKD,STWD"
2138,0,1.97,0.1656,0.1458,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,ENHANCED,RAW"
2139,0.2396,1.5,0.0234,0.0499,"POTATOES,FR FR,CRNKL OR REG,SALT ADDED IN PROC,FRZ,AS PURCH"
2140,0.1202,0.47,0,0.0015,"CLEMENTINES,RAW"
2141,0.2644,1.27,0,0.0085,"SPELT,CKD"
2142,0.68,4.98,0,0.231,"KEEBLER,CHIPS DELUXE,MINI CHOC CHIP COOKIES"
2143,0.04,2.41,0.136,0.187,HAM&CHS LOAF OR ROLL
2144,0.6522,3.18,0,0.0353,"SNACKS,TORTILLA CHIPS,LOFAT,MADE W/OLESTRA,NACHO CHS"
2145,0,2.65,0.1698,0.2131,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8\FAT,CHOIC,RAW"""
2146,0.7213,3.36,0,0.0209,TRITICALE
2147,0.402,1.62,0.012,0.001,"CITRUS FRUIT JUC DRK,FRZ CONC"
2148,0.651,4.99,0.077,0.226,"SNACKS,CORN-BASED,EXTRUDED,ONION-FLAVOR"
2149,0,1.19,0.2231,0.0262,"BEEF,RND,EYE OF RND,RST,LN,1/8\ FAT,SEL,RAW"""
2150,0.1949,1.11,0,0.0136,"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT"
2151,0,1.51,0.3189,0.0263,"VEAL,LEG,TOP RND,CAP OFF,CUTLET,BNLESS,CKD,GRILLED"
2152,0.562,3.91,0.0299,0.1791,"CAKE,YEL,COMMLY PREP,W/VANILLA FRSTNG"
2153,0,8.84,0,1,"OIL,INDUSTRIAL,SOY (PARTHYDR ),PALM, ICINGS & FILLINGS"
2154,0,3.78,0.225,0.3128,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8\FAT,CHOIC,CKD,RSTD"""
2155,0.5446,3.3,0.0659,0.0958,"BREAD,CORNBREAD,DRY MIX,PREP W/ 2% MILK,80% MARGARINE,& EGGS"
2156,0.0039,5.09,0,0.5136,"BEEF,AUSTRALIAN,GRASS-FED,EXTERNAL FAT,RAW"
2157,0.0086,2.72,0,0.2204,"LAMB,NZ,IMP,TONGUE - SWISS CUT,CKD,SOAKED & SIMMRD"
2158,0,1.12,0.2435,0.0088,"CUSK,COOKED,DRY HEAT"
2159,0.2604,5.67,0,0.48,"SESAME MEAL,PART DEFATTED"
2160,0,1.64,0.2423,0.0773,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,ENHANCED,CKD,RSTD"
2161,0.56,2.9,0,0.05,"BREAD,IRISH SODA,PREP FROM RECIPE"
2162,0,1.39,0.2345,0.043,"SALMON,COHO,WILD,CKD,DRY HEAT"
2163,0.4927,2.97,0.0801,0.0758,"TORTILLAS,RTB OR -FRY,FLR,SHELF STABLE"
2164,0.608,5.07,0,0.259,"SUNSHINE,CHEEZ-IT,DUOZ SMOKED CHEDDAR MONTEREY JACK CRACKERS"
2165,0.1415,0.61,0.015,0.003,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW"
2166,0,2.28,0.3206,0.1014,"VEAL,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,BRSD"
2167,0.774,4.13,0,0.087,"CEREALS RTE,POST SELECTS MAPLE PECAN CRUNCH"
2168,0,1.42,0,0.0578,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0\ FAT,SEL,RAW"""
2169,0.5118,2.93,0.0793,0.0587,"TORTILLAS,RTB OR -FRY,FLR,REFR"
2170,0.5726,5.35,0.0838,0.3022,"Popcor, microwav, regula (butter) flavo, mad with pal oil"
2171,0.0123,0.95,0,0.0229,"PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN,UNHTD"
2172,0.716,4.83,0,0.19,"KEEBLER,TOWN HOUSE,TOPPERS,GARLIC HERB CRACKERS"
2173,0,1.28,0.2144,0.0468,"BEEF,LOIN,TOP SIRLOIN CAP STEAK,BNLESS,LN,1/8\ FAT,SEL,RAW"""
2174,0,5.86,0.1216,0.5918,"LAMB,DOM,COMP OF RTL CUTS,FAT,1/4\FAT,CHOIC,CKD"""
2175,0,2.39,0.1842,0.1774,"HALIBUT,GREENLAND,CKD,DRY HEAT"
2176,0.1994,0.92,0,0.0062,"BUCKWHEAT GROATS,RSTD,CKD"
2177,0,1.14,0,0.0312,"BEEF,NZ,IMP,HIND SHIN,LN,RAW"
2178,0,1.82,0.2675,0.0834,"BF,LOIN,BTTM SIRLOIN BUTT,TRI-TIP,LN,0\ FAT,ALL GRD,CKD,RSTD"""
2179,0.6384,5.31,0,0.2959,"SNACKS,PLANTAIN CHIPS,SALTED"
2180,0.02,3.69,0.2154,0.3064,"CHEESE,ROQUEFORT"
2181,0.1023,0.88,0,0.0362,"MALTED DRK MIX,NAT,PDR,PREP W/ WHL MILK"
2182,0.7536,3.4,0,0.0199,"WHEAT,SOFT WHITE"
2183,0,1.56,0,0.0449,"LAMB,NZ,IMP,LOIN,BNLESS,LN,CKD,FAST RSTD"
2184,0.589,4.75,0.09,0.238,"COOKIES,PNUT BUTTER,PREP FROM RECIPE"
2185,0.0811,0.63,0.0445,0.0151,"SOUP,VEG BF,CND,COND"
2186,0.701,4.87,0,0.215,"KEEBLER,FUDGE SHOPPE,FUDGE STRIPES,DK CHOC"
2187,0.151,0.91,0,0.013,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM
2188,0,2.02,0.3093,0.077,"BEEF,LOIN,TENDERLOIN STK,BNLESS,L & F,0\ FAT,SEL,CKD,GRILLED"""
2189,0,1.56,0.2199,0.0754,"BEEF,RIB EYE STK/RST,BNLESS,LIP-ON,LN,1/8\ FAT,ALL GRDS,RAW"""
2190,0.1276,0.48,0.0027,0.0013,"APPLES,RAW,WITHOUT SKIN"
2191,0.162,2.15,0,0.095,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT
2192,0,2.34,0.2283,0.1512,"LAMB,VAR MEATS&BY-PRODUCTS,PANCREAS,CKD,BRSD"
2193,0.465,5.41,0.109,0.367,"SESAME STKS,WHEAT-BASED,UNSALTED"
2194,0.1305,0.5,0,3e-04,"FRUIT SALAD,CND,JUC PK,SOL&LIQUIDS"
