,carbs per g,calories per g,protein per gram,fat per g,name
64,0.1799,1.13,0.0589,0.0196,"BEEF MACARONI W/ TOMATO SAU,FRZ ENTREE,RED FAT"
65,0,1.95,0.3337,0.058,"BEEF,CHUCK,ARM POT RST,LN,0\FAT,SEL,CKD,BRSD"""
66,0.1254,0.49,0.0091,0.0015,"ORANGES,RAW,NAVELS"
67,0.777,4.52,0,0.133,"KEEBLER,100 CAL RIGHT BITES,CHIPS DELUXE,CHOC CHIP COOKIES"
68,0.072,0.42,0.028,0.003,"PEAS,EDIBLE-PODDED,FRZ,UNPREP"
69,0.2405,5.86,0,0.5087,"SESAME BUTTER,PASTE"
70,0.6259,3.62,0,0.0819,"CEREALS RTE,KASHI GOLEAN CRISP CINN CRUMBLE"
71,0,1.28,0.2075,0.0441,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,RAW"
72,0.0204,1.26,0.175,0.0484,"TURKEY HAM,CURED TURKEY THIGH MEAT"
73,0.0026,2.39,0.1606,0.1883,"HAM,CHOPPED,CANNED"
74,0.0512,0.24,0.0076,9e-04,"WHEY,ACID,FLUID"
75,0.7915,3.58,0,0.0052,"RICE,WHITE,SHORT-GRAIN,RAW,UNENR"
76,0,2.61,0.2666,0.1628,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRSD"
77,0.125,0.49,0,0.001,"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS"
78,0.0502,2.77,0,0.2418,"Frankfurter, meat and poultry, unheated"
79,0.014,0.47,0,0.025,VITASOY USA  ORGANIC NASOYA SILKEN TOFU
80,0.814,3.51,0,0.021,"CEREALS RTE,POST,SHREDDED WHEAT,ORIGINAL SPOON-SIZE"
81,0.0044,0.02,2e-04,0,"TEA,INST,SWTND W/ NON-NUTRITIVE SWTNR,LEMON-FLAVORED,PREP"
82,0,1.62,0.2076,0.081,"GAME MEAT,MUSKRAT,RAW"
83,0.6954,3.24,0.0469,0.0876,"SNACKS,KELLOGG'S,NUTRI-GRAIN CRL BARS,FRUIT"
84,0.496,2.85,0.079,0.057,"BREAD,WHITE,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK"
85,0.677,4.78,0,0.201,"MURRAY,SOUTHERN KITCHEN,OATMEAL COOKIES"
86,0.0625,0.25,0,0,"PACE,PICANTE SAU"
87,0,2.55,0.1813,0.2031,"BEEF,RIB EYE STK/RST,BNE-IN,IP-ON,LN & FT,1/8\ FT,AL GRDS,RW"""
88,0.1195,1,0,0.0484,"SOUP,CHICK MUSHROOM,CND,COND"
89,0.6255,3.47,0.2142,0.0123,"BEANS,PINTO,MATURE SEEDS,RAW"
90,0,1.17,0.2181,0.0265,"OSTRICH,FAN,RAW"
91,0.0384,2.25,0,0.1648,"USDA COMMODITY,BF PATTIES W/VPP,FRZ,RAW"
92,0.071,0.36,0,0.0041,"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT"
93,0.7512,3.82,0,0.0425,MILLET FLR
94,0.7934,3.6,0,0.0058,"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR"
95,0,1.47,0.2172,0.0667,"BEEF,LOIN,TENDERLOIN STEAK,BNLESS,L & F,0\ FAT,ALL GRDS,RAW"""
96,0.3714,2.37,0,0.0857,ICE CRM SNDWCH
97,0,3.17,0.2347,0.2401,"PORK,FRSH,SHLDR,ARM PICNIC,LN&FAT,CKD,RSTD"
98,0.8419,3.81,0,0.0459,"CEREALS RTE,GENERAL MILLS,FRUITY CHEERIOS"
99,0,1.16,0.1941,0.0371,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,RAW"
100,0,1.9,0.2731,0.081,"LAMB,AUS,IMP,FRSH,LEG,WHL (SHK&SIRL),LN,1/8\FAT,CKD,RSTD"""
101,0.4711,2.88,0.1452,0.046,"BREAD,MULTI-GRAIN,TSTD (INCLUDES WHOLE-GRAIN)"
102,0.7503,3.48,0,0.014,"SPAGHETTI,WHOLE-WHEAT,DRY"
103,0,2.9,0.6282,0.0237,"COD,ATLANTIC,DRIED&SALTED"
104,0,1.05,0,0.0368,"LAMB,NZ,IMP,HEART,RAW"
105,0.099,1.63,0.189,0.046,"OYSTER,PACIFIC,CKD,MOIST HEAT"
106,0.006,2.34,0.2245,0.151,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,EARS,FRZ,RAW"
107,0,1.53,0.2249,0.0632,"DRUM,FRESHWATER,CKD,DRY HEAT"
108,0.862,3.57,0,0.012,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K RED BERRIES"
109,0.497,5.19,0.131,0.335,"CANDIES,MILK CHOC COATD PNUTS"
110,0.1736,0.69,0.0058,0.006,"GUAVAS,STRAWBERRY,RAW"
111,0.1102,0.81,0,0.0122,"CAMPBELL'S CHUNKY SOUPS,GRILLED STEAK- STEAK CHILI W/ BNS"
112,0,2.14,0.2488,0.1191,"CHICKEN,STEWING,MEAT & SKN,& GIBLETS & NECK,CKD,STWD"
113,0.743,4.7,0,0.178,"KEEBLER,100 CAL RIGHT BITES,FUDGE SHOPPE,MINI FUDGE STRIPES"
114,0.8678,3.79,0,0.0095,"CEREALS RTE,RALSTON CRISPY HEXAGONS"
115,0.153,0.57,0,0.001,"QUINCES,RAW"
116,0.048,0.23,0.004,0.003,"ACEROLA JUICE,RAW"
117,0,0.77,0.1652,0.0075,"LOBSTER,NORTHERN,RAW"
118,0,1.57,0.2505,0.055,"PORK,CURED,HAM,WHL,LN,RSTD"
119,0.8117,3.54,0,0.0041,"POTATOES,MSHD,DEHYD,FLAKES WO/MILK,DRY FORM"
120,0.0094,3.09,0.1198,0.2823,"SMOKED LINK SAUSAGE,PORK"
121,0.6912,4.2,0,0.1443,"ARCHWAY Home Style Cookies, Iced Molasses"
122,0,2.97,0,0.2077,"PORK,FRESH,GROUND,COOKED"
123,0.7283,3.6,0,0.0105,"SEMOLINA,UNENRICHED"
124,0.5516,5.57,0.075,0.3402,"SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL"
125,0.469,0.97,0.001,0.004,"LEAVENING AGENTS,BAKING PDR,LOW-SODIUM"
126,0.207,1.17,0,0.0058,"HYACINTH BNS,MATURE SEEDS,CKD,BLD,W/SALT"
127,0.1214,0.47,0.0043,0.002,"LOQUATS,RAW"
128,0.0423,0.79,0.0887,0.0265,"OYSTER,EASTERN,WILD,CKD,DRY HEAT"
129,0,2.81,0.2518,0.1922,"BEEF,SHRT LOIN,T-BONE STEAK,LN & FAT,1/8\ FAT,SEL,CKD,GRLLD"""
130,0.0508,0.76,0,0.0508,CAMPBELL'S GOLDEN PORK GRAVY
131,0.0046,2.39,0.1911,0.1791,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0\ FAT,ALL GRDS,RAW"""
132,0.599,5.4,0,0.31,"KEEBLER,SANDIES,DK CHOC ALMOND SHORTBREAD COOKIES"
